2022-07-07 13:53:51.767553-> 42500,39.5,37.9,-8,0,4.087,3839,0.0,0.0,-2.32,5.65,-62.44,0.96,0.03,0.32,-0.91,0.11,-0.1
2022-07-07 13:53:51.920119-> 42500,39.5,37.9,-8,0,4.079,3847,0.0,0.0,2.41,11.54,-5.86,0.87,0.1,0.4,-0.91,0.11,-0.11
2022-07-07 13:53:52.120629-> 42750,39.5,37.88,1,0,4.079,3822,0.0,0.0,7.2,0.27,5.83,0.9,0.15,0.39,-0.91,0.12,-0.11
2022-07-07 13:53:52.385886-> 43000,39.5,37.88,-2,0,4.088,3782,0.0,0.0,13.64,8.09,4.3,1.0,0.05,0.43,-0.91,0.1,-0.14
2022-07-07 13:53:52.538984-> 43250,39.5,37.88,-2,0,4.088,3735,0.0,0.0,19.96,24.99,5.07,0.83,0.13,0.46,-0.91,0.13,-0.13
2022-07-07 13:53:52.724490-> 43500,39.5,37.92,-6,0,4.089,3746,0.0,0.0,19.2,11.75,-8.67,0.89,0.07,0.51,-0.87,0.1,-0.14
2022-07-07 13:53:52.909999-> 12582955500,39.5,38.38,-8,33555457,4.089,3764,0.0,64.0,19.74,49.96,1.13,0.82,0.19,0.56,-0.89,0.09,-0.17
2022-07-07 13:53:53.093187-> 43750,39.5,37.92,-8,0,4.097,3798,0.0,0.0,2.81,7.48,7.26,0.8,0.22,0.58,-0.9,0.11,-0.19
2022-07-07 13:53:53.346579-> 44000,39.5,37.9,-6,1,4.06,3822,0.0,0.0,4.36,16.17,-5.92,0.81,0.18,0.62,-0.89,0.11,-0.21
2022-07-07 13:53:53.509738-> 44250,39.5,37.9,-8,1,4.089,3814,0.0,0.0,-14.71,16.3,-3.42,0.73,0.13,0.73,-0.87,0.12,-0.25
2022-07-07 13:53:53.699696-> 44500,39.5,37.9,-6,1,4.084,3886,0.0,0.0,8.91,11.72,-6.68,0.68,0.13,0.71,-0.86,0.12,-0.27
2022-07-07 13:53:53.949060-> 44500,39.5,37.9,-8,1,4.091,3718,0.0,0.0,-17.88,18.98,11.14,0.62,0.06,0.79,-0.85,0.15,-0.3
2022-07-07 13:53:54.087701-> 44750,39.5,37.9,-8,1,4.095,3799,0.0,0.0,-2.01,4.09,-0.37,0.6,0.01,0.86,-0.84,0.15,-0.3
2022-07-07 13:53:54.335993-> 45000,39.5,37.92,-10,1,4.079,3810,0.0,0.0,7.72,5.07,-10.53,0.49,0.02,0.93,-0.82,0.16,-0.33
2022-07-07 13:53:54.483634-> 45250,39.5,37.9,-10,0,4.096,3874,0.0,0.0,13.43,33.87,-0.09,0.44,0.06,0.94,-0.78,0.14,-0.36
2022-07-07 13:53:54.741555-> 45500,39.5,37.93,-6,0,4.097,3895,0.0,0.0,-3.57,38.64,5.28,0.27,0.05,0.96,-0.74,0.16,-0.39
2022-07-07 13:53:54.895115-> 45500,39.5,37.9,-8,0,4.077,3874,0.0,0.0,-12.94,36.32,-2.84,0.15,-0.03,1.04,-0.68,0.17,-0.43
2022-07-07 13:53:55.079864-> 45750,39.5,37.93,-8,0,4.095,3878,0.0,0.0,-0.27,7.69,-5.98,0.09,-0.03,1.0,-0.67,0.17,-0.43
2022-07-07 13:53:55.324754-> 46000,39.5,37.9,-8,0,4.099,3895,0.0,0.0,4.06,11.17,-1.83,0.14,-0.01,1.13,-0.65,0.16,-0.44
